Running tool: /usr/bin/go test -benchmem -run=^$ -coverprofile=/tmp/vscode-goXHUl02/go-code-cover -bench . github.com/database64128/cubic-go-playground/logging

goos: linux
goarch: amd64
pkg: github.com/database64128/cubic-go-playground/logging
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkTslog/Color/Info/FieldsAny-32                          	 1351711	       824.9 ns/op	     264 B/op	       6 allocs/op
BenchmarkTslog/Color/Info/FieldsAnyp-32                         	 1539464	       786.8 ns/op	     208 B/op	       4 allocs/op
BenchmarkTslog/Color/Info/FieldsString-32                       	 1594939	       763.0 ns/op	     176 B/op	       5 allocs/op
BenchmarkTslog/Color/Info/FieldsMarshalText-32                  	 1627843	       738.6 ns/op	     144 B/op	       4 allocs/op
BenchmarkTslog/Color/Debug-32                                   	1000000000	         0.1733 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/Color/Debug/FieldsAny-32                         	33110954	        39.03 ns/op	      56 B/op	       2 allocs/op
BenchmarkTslog/Color/Debug/FieldsAnyp-32                        	186903718	         6.428 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/Color/Debug/FieldsString-32                      	 6516424	       208.6 ns/op	     144 B/op	       3 allocs/op
BenchmarkTslog/Color/Debug/FieldsMarshalText-32                 	 6108974	       172.7 ns/op	     112 B/op	       2 allocs/op
BenchmarkTslog/Color/INFO/EnabledFieldsAny-32                   	 1457444	       896.8 ns/op	     264 B/op	       6 allocs/op
BenchmarkTslog/Color/INFO/EnabledFieldsAnyp-32                  	 1511900	       807.9 ns/op	     208 B/op	       4 allocs/op
BenchmarkTslog/Color/INFO/EnabledFieldsString-32                	 1534083	       795.2 ns/op	     176 B/op	       5 allocs/op
BenchmarkTslog/Color/INFO/EnabledFieldsMarshalText-32           	 1627066	       750.1 ns/op	     144 B/op	       4 allocs/op
BenchmarkTslog/Color/DEBUG/EnabledFieldsAny-32                  	1000000000	         0.2196 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/Color/DEBUG/EnabledFieldsAnyp-32                 	1000000000	         0.1861 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/Color/DEBUG/EnabledFieldsString-32               	1000000000	         0.2610 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/Color/DEBUG/EnabledFieldsMarshalText-32          	1000000000	         0.1836 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/NoColor/Info-32                                  	 4817598	       248.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/NoColor/Info/FieldsAny-32                        	 1299920	       860.0 ns/op	     264 B/op	       6 allocs/op
BenchmarkTslog/NoColor/Info/FieldsAnyp-32                       	 1545271	       777.2 ns/op	     208 B/op	       4 allocs/op
BenchmarkTslog/NoColor/Info/FieldsString-32                     	 1565138	       783.7 ns/op	     176 B/op	       5 allocs/op
BenchmarkTslog/NoColor/Info/FieldsMarshalText-32                	 1624766	       730.7 ns/op	     144 B/op	       4 allocs/op
BenchmarkTslog/NoColor/Debug-32                                 	1000000000	         0.1930 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/NoColor/Debug/FieldsAny-32                       	31988188	        38.40 ns/op	      56 B/op	       2 allocs/op
BenchmarkTslog/NoColor/Debug/FieldsAnyp-32                      	186318649	         6.415 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/NoColor/Debug/FieldsString-32                    	 7951672	       229.9 ns/op	     144 B/op	       3 allocs/op
BenchmarkTslog/NoColor/Debug/FieldsMarshalText-32               	 6435212	       218.1 ns/op	     112 B/op	       2 allocs/op
BenchmarkTslog/NoColor/INFO/EnabledFieldsAny-32                 	 1311850	       878.2 ns/op	     264 B/op	       6 allocs/op
BenchmarkTslog/NoColor/INFO/EnabledFieldsAnyp-32                	 1516940	       788.1 ns/op	     208 B/op	       4 allocs/op
BenchmarkTslog/NoColor/INFO/EnabledFieldsString-32              	 1521192	       760.8 ns/op	     176 B/op	       5 allocs/op
BenchmarkTslog/NoColor/INFO/EnabledFieldsMarshalText-32         	 1613564	       758.1 ns/op	     144 B/op	       4 allocs/op
BenchmarkTslog/NoColor/DEBUG/EnabledFieldsAny-32                	1000000000	         0.1914 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/NoColor/DEBUG/EnabledFieldsAnyp-32               	1000000000	         0.1823 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/NoColor/DEBUG/EnabledFieldsString-32             	1000000000	         0.3204 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/NoColor/DEBUG/EnabledFieldsMarshalText-32        	1000000000	         0.1879 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/NoTime/Info-32                                   	 8122974	       148.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/NoTime/Info/FieldsAny-32                         	 1616853	       749.9 ns/op	     264 B/op	       6 allocs/op
BenchmarkTslog/NoTime/Info/FieldsAnyp-32                        	 1780762	       708.0 ns/op	     208 B/op	       4 allocs/op
BenchmarkTslog/NoTime/Info/FieldsString-32                      	 1772490	       666.3 ns/op	     176 B/op	       5 allocs/op
BenchmarkTslog/NoTime/Info/FieldsMarshalText-32                 	 1936734	       609.0 ns/op	     144 B/op	       4 allocs/op
BenchmarkTslog/NoTime/Debug-32                                  	1000000000	         0.1772 ns/op	       0 B/op	       0 allocs/op
